D   C   B   ReLU   PReLU   ELU   LReLU
0.809 ¡À 0.015   0.763 ¡À 0.017   0.754 ¡À 0.020   0.765 ¡À 0.022   0.756 ¡À 0.030   0.749 ¡À 0.029   0.755 ¡À 0.022
0.832   0.794   0.778   0.794   0.806   0.804   0.800
0.818,0.795,0.798,0.825,0.832,0.799,0.787,0.824,0.806,0.810   0.758,0.749,0.764,0.756,0.780,0.794,0.733,0.756,0.769,0.767   0.749,0.741,0.763,0.754,0.763,0.778,0.705,0.764,0.759,0.765   0.726,0.777,0.794,0.757,0.792,0.780,0.741,0.764,0.758,0.759   0.731,0.787,0.806,0.789,0.735,0.751,0.736,0.764,0.750,0.713   0.715,0.732,0.754,0.804,0.723,0.739,0.754,0.777,0.718,0.772   0.739,0.780,0.730,0.752,0.732,0.751,0.766,0.800,0.747,0.756
0.697,0.689,0.599,0.744,0.612,0.629,0.682,0.670,0.677,0.633   0.788,0.838,0.785,0.795,0.770,0.749,0.883,0.798,0.794,0.850   0.934,0.823,0.856,0.772,0.724,0.749,0.964,0.912,0.812,0.865   0.867,0.777,0.738,0.747,0.798,0.781,0.838,0.857,0.835,0.892   0.842,0.760,0.708,0.759,0.824,0.793,0.918,0.796,0.766,0.910   0.971,0.971,0.796,0.815,0.921,0.888,0.891,0.736,0.938,0.804   0.865,0.735,0.887,0.806,0.898,0.901,0.855,0.768,0.878,0.879
