D   C   B   ReLU   PReLU   ELU   LReLU
0.769 ¡À 0.013   0.784 ¡À 0.018   0.779 ¡À 0.017   0.772 ¡À 0.031   0.762 ¡À 0.030   0.789 ¡À 0.023   0.787 ¡À 0.017
0.788   0.806   0.803   0.813   0.807   0.821   0.812
0.769,0.768,0.765,0.767,0.788,0.774,0.743,0.758,0.782,0.780   0.750,0.804,0.804,0.775,0.796,0.806,0.777,0.779,0.779,0.770   0.803,0.772,0.776,0.784,0.767,0.783,0.749,0.797,0.761,0.795   0.813,0.758,0.790,0.753,0.722,0.786,0.803,0.726,0.784,0.782   0.807,0.754,0.760,0.771,0.706,0.742,0.784,0.732,0.772,0.790   0.759,0.790,0.791,0.804,0.804,0.767,0.821,0.759,0.820,0.778   0.787,0.799,0.812,0.761,0.794,0.796,0.777,0.759,0.790,0.799
0.531,0.566,0.603,0.583,0.551,0.577,0.610,0.539,0.579,0.575   0.542,0.583,0.467,0.556,0.541,0.533,0.496,0.561,0.599,0.522   0.554,0.525,0.526,0.501,0.552,0.564,0.549,0.527,0.551,0.497   0.547,0.660,0.505,0.580,0.581,0.547,0.525,0.624,0.539,0.475   0.538,0.579,0.679,0.512,0.632,0.594,0.519,0.531,0.600,0.520   0.582,0.477,0.533,0.562,0.592,0.537,0.525,0.557,0.476,0.587   0.528,0.523,0.528,0.610,0.566,0.557,0.547,0.585,0.633,0.508
