D   C   B   ReLU   PReLU   ELU   LReLU
0.322 ¡À 0.047   0.478 ¡À 0.039   0.542 ¡À 0.039   0.417 ¡À 0.073   0.672 ¡À 0.026   0.466 ¡À 0.036   0.382 ¡À 0.033
0.406   0.523   0.593   0.544   0.718   0.517   0.418
0.352,0.294,0.303,0.309,0.323,0.332,0.406,0.261,0.264,0.377   0.421,0.521,0.502,0.461,0.419,0.482,0.523,0.514,0.454,0.478   0.506,0.466,0.590,0.555,0.561,0.537,0.593,0.552,0.555,0.507   0.418,0.406,0.396,0.451,0.510,0.544,0.357,0.426,0.291,0.376   0.624,0.662,0.670,0.691,0.677,0.718,0.640,0.675,0.683,0.684   0.402,0.517,0.467,0.495,0.429,0.513,0.442,0.463,0.466,0.463   0.358,0.401,0.311,0.388,0.418,0.365,0.373,0.416,0.411,0.380
1.726,1.630,1.662,1.661,1.631,1.581,1.618,1.593,1.620,1.570   1.563,1.412,1.358,1.410,1.486,1.466,1.378,1.347,1.469,1.434   1.377,1.382,1.377,1.341,1.317,1.360,1.298,1.375,1.287,1.348   1.600,1.601,1.601,1.633,1.458,1.441,1.615,1.529,1.629,1.588   1.122,1.073,0.972,0.977,0.951,0.929,1.001,1.026,0.971,0.932   1.465,1.548,1.480,1.589,1.484,1.519,1.493,1.462,1.492,1.467   1.640,1.570,1.646,1.648,1.613,1.544,1.611,1.584,1.634,1.640
