D   C   B   ReLU   PReLU   ELU   LReLU
0.666 ¡À 0.013   0.727 ¡À 0.012   0.724 ¡À 0.014   0.721 ¡À 0.019   0.714 ¡À 0.021   0.726 ¡À 0.018   0.726 ¡À 0.021
0.689   0.742   0.753   0.755   0.745   0.753   0.752
0.662,0.649,0.689,0.665,0.648,0.660,0.681,0.668,0.668,0.665   0.742,0.736,0.719,0.715,0.715,0.739,0.740,0.726,0.707,0.731   0.753,0.728,0.732,0.712,0.719,0.711,0.711,0.732,0.709,0.735   0.700,0.722,0.755,0.721,0.706,0.692,0.715,0.727,0.743,0.731   0.725,0.736,0.728,0.745,0.726,0.685,0.703,0.693,0.704,0.690   0.725,0.748,0.712,0.733,0.724,0.753,0.724,0.713,0.734,0.691   0.690,0.723,0.699,0.737,0.724,0.744,0.746,0.710,0.735,0.752
0.869,0.898,0.832,0.801,0.897,0.905,0.948,0.990,0.866,0.884   0.759,0.796,0.804,0.742,0.762,0.720,0.707,0.782,0.722,0.773   0.734,0.760,0.760,0.766,0.752,0.850,0.697,0.671,0.780,0.718   0.850,0.809,0.769,0.744,0.791,0.816,0.755,0.801,0.817,0.724   0.718,0.794,0.714,0.706,0.722,0.656,0.782,0.835,0.812,0.860   0.724,0.756,0.688,0.691,0.752,0.783,0.732,0.693,0.727,0.836   0.773,0.741,0.750,0.854,0.767,0.767,0.762,0.724,0.738,0.808
