D   C   B   ReLU   PReLU   ELU   LReLU
0.675 ¡À 0.020   0.681 ¡À 0.013   0.674 ¡À 0.015   0.682 ¡À 0.018   0.670 ¡À 0.023   0.682 ¡À 0.024   0.671 ¡À 0.029
0.717   0.704   0.707   0.710   0.705   0.711   0.711
0.684,0.658,0.678,0.662,0.689,0.676,0.647,0.717,0.680,0.655   0.670,0.704,0.682,0.695,0.676,0.675,0.692,0.679,0.678,0.661   0.680,0.655,0.667,0.684,0.677,0.657,0.707,0.672,0.666,0.674   0.647,0.674,0.672,0.688,0.681,0.694,0.710,0.684,0.669,0.698   0.666,0.654,0.683,0.697,0.659,0.690,0.667,0.705,0.643,0.634   0.678,0.693,0.639,0.674,0.709,0.655,0.707,0.711,0.687,0.668   0.674,0.677,0.652,0.703,0.711,0.672,0.605,0.664,0.687,0.663
1.022,0.931,0.948,0.838,0.958,0.980,1.084,1.067,0.963,1.000   1.088,1.018,1.006,1.061,1.031,1.084,0.947,1.011,0.957,1.056   0.976,1.088,1.080,0.977,1.074,0.958,1.007,0.931,0.941,0.882   1.053,1.075,1.083,0.945,1.007,0.968,0.968,1.041,1.028,1.002   0.987,0.998,0.931,0.890,1.030,0.964,1.063,0.972,1.106,1.052   1.048,1.058,1.090,1.094,0.999,0.980,1.027,1.084,1.096,1.063   1.043,1.050,1.110,0.984,1.005,1.087,1.034,1.008,0.976,1.020
