D   C   B   ReLU   PReLU   ELU   LReLU
0.804 ¡À 0.012   0.795 ¡À 0.015   0.798 ¡À 0.013   0.790 ¡À 0.014   0.793 ¡À 0.020   0.797 ¡À 0.008   0.792 ¡À 0.021
0.822   0.826   0.813   0.808   0.824   0.806   0.829
0.808,0.804,0.803,0.787,0.817,0.807,0.822,0.798,0.812,0.784   0.782,0.792,0.797,0.795,0.767,0.808,0.826,0.797,0.800,0.789   0.811,0.782,0.812,0.792,0.797,0.778,0.811,0.813,0.794,0.792   0.796,0.777,0.795,0.777,0.800,0.771,0.802,0.808,0.773,0.805   0.777,0.772,0.793,0.783,0.767,0.814,0.824,0.817,0.793,0.789   0.803,0.800,0.796,0.806,0.793,0.789,0.795,0.780,0.802,0.802   0.762,0.807,0.769,0.772,0.792,0.805,0.779,0.798,0.829,0.808
0.631,0.521,0.649,0.688,0.602,0.630,0.602,0.679,0.638,0.653   0.604,0.668,0.679,0.667,0.632,0.659,0.687,0.636,0.641,0.607   0.662,0.554,0.730,0.639,0.592,0.723,0.629,0.611,0.670,0.684   0.694,0.723,0.639,0.667,0.658,0.739,0.653,0.698,0.711,0.695   0.652,0.660,0.722,0.762,0.645,0.740,0.635,0.649,0.599,0.743   0.662,0.653,0.767,0.619,0.643,0.710,0.747,0.675,0.606,0.614   0.756,0.681,0.808,0.723,0.711,0.768,0.642,0.678,0.697,0.648
