D   C   B   ReLU   PReLU   ELU   LReLU
0.811 ¡À 0.008   0.810 ¡À 0.021   0.802 ¡À 0.017   0.812 ¡À 0.013   0.804 ¡À 0.021   0.805 ¡À 0.017   0.808 ¡À 0.023
0.821   0.841   0.825   0.833   0.831   0.830   0.831
0.811,0.791,0.811,0.819,0.814,0.821,0.816,0.814,0.809,0.807   0.832,0.824,0.815,0.795,0.784,0.789,0.799,0.790,0.841,0.835   0.797,0.824,0.799,0.785,0.825,0.823,0.805,0.780,0.789,0.798   0.798,0.816,0.821,0.786,0.810,0.803,0.812,0.833,0.824,0.813   0.807,0.810,0.794,0.831,0.801,0.805,0.817,0.809,0.820,0.751   0.824,0.788,0.810,0.817,0.811,0.802,0.787,0.830,0.777,0.805   0.831,0.809,0.793,0.826,0.819,0.816,0.753,0.796,0.812,0.820
0.670,0.660,0.665,0.632,0.645,0.619,0.645,0.696,0.641,0.697   0.689,0.643,0.706,0.679,0.687,0.729,0.653,0.633,0.675,0.716   0.529,0.623,0.573,0.612,0.574,0.605,0.642,0.596,0.628,0.603   0.776,0.801,0.677,0.753,0.724,0.769,0.700,0.756,0.749,0.769   0.569,0.633,0.663,0.604,0.602,0.520,0.445,0.589,0.578,0.765   0.769,0.820,0.683,0.698,0.743,0.623,0.747,0.650,0.791,0.730   0.752,0.661,0.741,0.744,0.707,0.832,0.824,0.688,0.788,0.741
