D   C   B   ReLU   PReLU   ELU   LReLU
0.684 ¡À 0.023   0.685 ¡À 0.017   0.686 ¡À 0.016   0.686 ¡À 0.014   0.682 ¡À 0.016   0.684 ¡À 0.016   0.692 ¡À 0.019
0.713   0.709   0.713   0.708   0.697   0.712   0.717
0.694,0.672,0.687,0.684,0.703,0.668,0.672,0.713,0.636,0.710   0.687,0.694,0.695,0.681,0.709,0.678,0.654,0.679,0.666,0.708   0.687,0.678,0.681,0.673,0.676,0.691,0.713,0.711,0.687,0.662   0.678,0.703,0.663,0.684,0.683,0.682,0.676,0.708,0.681,0.699   0.654,0.697,0.694,0.652,0.686,0.688,0.687,0.685,0.684,0.692   0.677,0.683,0.695,0.698,0.677,0.684,0.653,0.683,0.712,0.675   0.670,0.674,0.711,0.704,0.696,0.694,0.707,0.663,0.717,0.682
0.958,1.024,0.946,0.986,1.077,1.042,0.996,0.988,1.022,0.943   0.974,0.995,1.050,1.069,0.944,1.009,1.003,1.013,1.029,0.985   0.959,0.985,1.035,1.018,1.055,0.997,0.980,0.971,0.955,0.902   1.124,1.022,1.049,1.025,1.131,1.042,1.022,1.119,1.141,1.127   0.989,0.946,0.949,1.008,0.911,1.128,0.966,0.946,0.969,0.885   1.033,1.011,1.028,1.020,1.019,1.144,1.067,1.090,1.038,1.018   1.097,1.021,1.034,1.049,1.027,1.080,1.080,1.154,1.075,1.064
