D   C   B   ReLU   PReLU   ELU   LReLU
0.646 ¡À 0.043   0.857 ¡À 0.027   0.864 ¡À 0.018   0.725 ¡À 0.033   0.796 ¡À 0.030   0.862 ¡À 0.022   0.725 ¡À 0.059
0.707   0.884   0.889   0.791   0.845   0.892   0.787
0.585,0.569,0.680,0.636,0.653,0.707,0.685,0.646,0.664,0.631   0.785,0.857,0.863,0.848,0.862,0.873,0.884,0.875,0.870,0.856   0.824,0.862,0.889,0.868,0.845,0.873,0.864,0.877,0.868,0.867   0.752,0.663,0.703,0.713,0.723,0.718,0.714,0.791,0.729,0.743   0.845,0.787,0.807,0.817,0.795,0.800,0.804,0.752,0.808,0.744   0.871,0.875,0.892,0.880,0.836,0.875,0.866,0.827,0.859,0.835   0.675,0.787,0.747,0.758,0.724,0.741,0.766,0.774,0.591,0.692
1.255,1.177,1.062,1.087,1.077,1.032,1.081,1.011,1.079,1.074   0.835,0.730,0.737,0.736,0.722,0.729,0.762,0.711,0.728,0.691   0.739,0.715,0.646,0.744,0.697,0.669,0.625,0.617,0.686,0.671   1.100,1.183,1.155,1.176,1.199,1.115,1.078,1.039,1.114,1.158   0.485,0.598,0.584,0.638,0.613,0.649,0.582,0.665,0.646,0.687   0.863,0.833,0.823,0.810,0.895,0.808,0.886,0.871,0.799,0.881   1.149,1.094,1.133,1.111,1.164,1.047,1.087,1.104,1.259,1.202
