D   C   B   ReLU   PReLU   ELU   LReLU
0.759 ¡À 0.024   0.704 ¡À 0.029   0.718 ¡À 0.039   0.681 ¡À 0.041   0.715 ¡À 0.031   0.684 ¡À 0.028   0.705 ¡À 0.030
0.783   0.756   0.758   0.749   0.763   0.727   0.767
0.783,0.759,0.774,0.706,0.760,0.750,0.735,0.768,0.782,0.778   0.698,0.660,0.727,0.689,0.686,0.726,0.756,0.684,0.683,0.729   0.737,0.700,0.758,0.691,0.757,0.757,0.753,0.667,0.698,0.661   0.659,0.683,0.703,0.602,0.721,0.646,0.664,0.680,0.702,0.749   0.692,0.710,0.685,0.660,0.735,0.736,0.699,0.763,0.740,0.731   0.703,0.638,0.659,0.681,0.665,0.708,0.659,0.694,0.705,0.727   0.701,0.741,0.699,0.692,0.669,0.767,0.676,0.699,0.684,0.719
0.654,0.597,0.640,0.657,0.613,0.697,0.679,0.604,0.503,0.631   0.720,0.712,0.722,0.800,0.758,0.779,0.709,0.709,0.682,0.702   0.673,0.721,0.561,0.782,0.677,0.602,0.676,0.731,0.730,0.753   0.828,0.705,0.779,0.854,0.689,0.781,0.764,0.748,0.661,0.644   0.768,0.734,0.788,0.768,0.675,0.657,0.745,0.616,0.675,0.690   0.668,0.766,0.732,0.756,0.783,0.690,0.744,0.710,0.760,0.721   0.731,0.688,0.779,0.688,0.710,0.640,0.727,0.738,0.769,0.626
