D   C   B   ReLU   PReLU   ELU   LReLU
0.678 ¡À 0.024   0.673 ¡À 0.013   0.684 ¡À 0.018   0.671 ¡À 0.028   0.662 ¡À 0.026   0.681 ¡À 0.017   0.673 ¡À 0.021
0.721   0.697   0.715   0.701   0.696   0.702   0.701
0.686,0.674,0.660,0.701,0.660,0.685,0.676,0.635,0.681,0.721   0.665,0.662,0.682,0.655,0.659,0.679,0.677,0.680,0.697,0.671   0.671,0.715,0.702,0.694,0.675,0.691,0.669,0.686,0.683,0.652   0.669,0.650,0.696,0.690,0.680,0.671,0.701,0.676,0.678,0.602   0.696,0.622,0.646,0.678,0.696,0.666,0.638,0.688,0.646,0.644   0.699,0.702,0.673,0.692,0.679,0.661,0.654,0.693,0.695,0.664   0.685,0.701,0.662,0.665,0.692,0.676,0.675,0.633,0.690,0.648
1.001,1.003,0.958,0.952,0.949,0.946,0.933,1.069,0.982,0.972   1.086,0.932,0.956,0.965,1.061,0.952,1.013,0.974,0.927,0.981   0.929,0.976,0.858,0.911,0.946,0.977,0.967,0.950,0.992,0.984   1.057,1.050,0.932,1.068,0.989,1.063,0.935,0.988,0.975,1.072   0.867,0.899,1.020,0.997,1.000,1.051,1.068,1.023,1.032,1.080   0.999,0.917,1.007,1.017,0.996,1.005,0.994,0.936,0.986,1.040   0.960,0.983,0.938,1.008,0.931,0.991,1.018,1.044,0.996,1.065
