D   C   B   ReLU   PReLU   ELU   LReLU
0.405 ¡À 0.021   0.544 ¡À 0.016   0.545 ¡À 0.018   0.507 ¡À 0.023   0.530 ¡À 0.016   0.528 ¡À 0.018   0.510 ¡À 0.020
0.443   0.568   0.568   0.548   0.549   0.560   0.538
0.389,0.405,0.389,0.386,0.441,0.403,0.406,0.389,0.397,0.443   0.513,0.546,0.565,0.547,0.568,0.541,0.537,0.556,0.534,0.532   0.510,0.564,0.558,0.532,0.549,0.540,0.526,0.557,0.568,0.548   0.502,0.530,0.496,0.502,0.475,0.507,0.533,0.486,0.548,0.494   0.549,0.535,0.533,0.502,0.537,0.532,0.529,0.499,0.538,0.542   0.518,0.560,0.524,0.519,0.519,0.515,0.513,0.540,0.515,0.557   0.538,0.525,0.520,0.506,0.480,0.532,0.499,0.496,0.484,0.516
1.823,1.829,1.723,1.758,1.667,1.639,1.722,1.711,1.703,1.751   1.461,1.438,1.366,1.444,1.461,1.488,1.490,1.429,1.473,1.425   1.277,1.355,1.330,1.362,1.320,1.458,1.286,1.366,1.406,1.334   1.470,1.580,1.582,1.569,1.547,1.516,1.536,1.575,1.505,1.575   1.379,1.259,1.469,1.391,1.376,1.434,1.473,1.422,1.483,1.413   1.511,1.452,1.529,1.549,1.441,1.556,1.462,1.474,1.577,1.502   1.519,1.497,1.550,1.601,1.514,1.462,1.560,1.487,1.588,1.495
