D   C   B   ReLU   PReLU   ELU   LReLU
0.745 ¡À 0.028   0.752 ¡À 0.016   0.745 ¡À 0.027   0.757 ¡À 0.031   0.760 ¡À 0.025   0.748 ¡À 0.027   0.753 ¡À 0.033
0.803   0.774   0.774   0.798   0.805   0.786   0.798
0.711,0.776,0.751,0.731,0.732,0.727,0.722,0.736,0.803,0.758   0.766,0.764,0.745,0.737,0.768,0.774,0.723,0.755,0.739,0.750   0.701,0.760,0.713,0.769,0.774,0.744,0.766,0.747,0.711,0.761   0.739,0.770,0.765,0.748,0.766,0.762,0.769,0.772,0.798,0.679   0.780,0.805,0.745,0.729,0.756,0.774,0.754,0.737,0.732,0.784   0.754,0.777,0.786,0.770,0.726,0.716,0.762,0.701,0.742,0.748   0.706,0.753,0.728,0.705,0.793,0.755,0.782,0.756,0.798,0.757
0.590,0.557,0.644,0.673,0.630,0.667,0.690,0.665,0.558,0.535   0.586,0.601,0.569,0.624,0.597,0.545,0.675,0.596,0.629,0.598   0.650,0.626,0.657,0.514,0.528,0.626,0.524,0.662,0.624,0.636   0.672,0.545,0.538,0.584,0.638,0.548,0.672,0.659,0.587,0.668   0.580,0.624,0.547,0.658,0.580,0.570,0.608,0.706,0.670,0.709   0.692,0.629,0.536,0.549,0.607,0.682,0.569,0.635,0.640,0.539   0.677,0.622,0.656,0.596,0.539,0.569,0.556,0.629,0.594,0.641
