D   C   B   ReLU   PReLU   ELU   LReLU
0.690 ¡À 0.018   0.683 ¡À 0.022   0.685 ¡À 0.018   0.677 ¡À 0.013   0.668 ¡À 0.015   0.679 ¡À 0.021   0.686 ¡À 0.024
0.715   0.717   0.709   0.689   0.694   0.713   0.715
0.701,0.669,0.705,0.687,0.681,0.658,0.690,0.715,0.711,0.680   0.679,0.646,0.676,0.711,0.655,0.688,0.692,0.681,0.687,0.717   0.702,0.678,0.675,0.681,0.709,0.707,0.697,0.680,0.665,0.657   0.664,0.686,0.650,0.680,0.688,0.689,0.679,0.670,0.677,0.689   0.679,0.662,0.694,0.657,0.671,0.654,0.687,0.647,0.661,0.670   0.704,0.675,0.690,0.671,0.675,0.698,0.660,0.713,0.657,0.651   0.703,0.663,0.663,0.707,0.672,0.714,0.667,0.715,0.702,0.657
0.897,0.993,0.968,0.897,1.034,0.964,1.011,0.901,1.061,0.987   0.990,0.890,0.954,0.867,0.881,0.938,0.878,1.054,1.031,0.952   1.059,0.992,0.877,1.021,1.067,0.979,0.902,1.031,0.925,1.030   0.961,1.126,1.087,0.957,1.015,1.005,0.970,1.012,0.959,0.944   0.991,1.050,1.024,1.040,1.102,1.047,1.087,1.090,1.198,1.074   0.967,1.036,0.954,1.010,0.948,0.962,0.965,1.004,1.058,0.969   0.988,1.016,0.950,0.990,1.019,0.947,1.044,1.078,0.934,1.108
