D   C   B   ReLU   PReLU   ELU   LReLU
0.786 ¡À 0.020   0.783 ¡À 0.015   0.777 ¡À 0.017   0.786 ¡À 0.017   0.776 ¡À 0.017   0.775 ¡À 0.014   0.776 ¡À 0.018
0.816   0.797   0.799   0.813   0.787   0.799   0.799
0.742,0.768,0.791,0.792,0.799,0.794,0.775,0.792,0.792,0.816   0.797,0.795,0.793,0.790,0.781,0.762,0.750,0.793,0.783,0.783   0.777,0.792,0.753,0.775,0.751,0.775,0.799,0.791,0.794,0.765   0.788,0.765,0.797,0.793,0.775,0.767,0.810,0.772,0.778,0.813   0.760,0.784,0.787,0.784,0.786,0.787,0.785,0.734,0.784,0.774   0.795,0.773,0.784,0.768,0.768,0.761,0.779,0.799,0.768,0.756   0.781,0.799,0.785,0.763,0.743,0.780,0.798,0.767,0.786,0.756
0.724,0.674,0.645,0.737,0.695,0.674,0.673,0.607,0.681,0.627   0.664,0.712,0.723,0.695,0.666,0.711,0.784,0.746,0.717,0.715   0.710,0.692,0.786,0.736,0.789,0.702,0.706,0.695,0.689,0.733   0.772,0.746,0.684,0.665,0.759,0.756,0.663,0.754,0.715,0.670   0.626,0.701,0.630,0.669,0.620,0.622,0.582,0.873,0.625,0.735   0.761,0.786,0.794,0.724,0.769,0.695,0.722,0.789,0.785,0.787   0.780,0.703,0.806,0.768,0.801,0.765,0.672,0.723,0.821,0.719
