D   C   B   ReLU   PReLU   ELU   LReLU
0.691 ¡À 0.011   0.685 ¡À 0.019   0.695 ¡À 0.022   0.677 ¡À 0.023   0.673 ¡À 0.021   0.683 ¡À 0.014   0.684 ¡À 0.018
0.710   0.717   0.725   0.721   0.707   0.701   0.712
0.696,0.688,0.691,0.679,0.689,0.697,0.710,0.692,0.669,0.702   0.702,0.678,0.699,0.657,0.698,0.661,0.683,0.717,0.684,0.675   0.701,0.685,0.689,0.725,0.706,0.722,0.661,0.688,0.662,0.713   0.667,0.694,0.702,0.673,0.651,0.654,0.721,0.677,0.675,0.654   0.677,0.687,0.657,0.695,0.679,0.662,0.707,0.677,0.661,0.632   0.665,0.672,0.662,0.687,0.695,0.677,0.680,0.701,0.701,0.686   0.686,0.660,0.712,0.698,0.695,0.655,0.682,0.675,0.698,0.681
1.086,0.960,1.038,1.071,1.056,1.043,1.002,0.981,1.016,0.991   1.059,1.018,1.059,1.058,1.035,1.024,1.044,1.040,1.092,1.040   1.027,1.046,0.988,0.975,1.032,1.074,1.063,0.994,0.949,0.976   1.101,1.118,1.127,1.087,1.108,1.078,1.095,1.093,1.078,1.129   0.978,0.962,1.035,0.821,1.031,0.988,1.042,1.033,1.121,1.103   0.989,1.081,1.129,1.117,1.040,1.043,1.096,1.086,1.010,1.066   1.123,1.121,1.161,1.064,1.140,1.175,1.199,1.071,1.108,1.135
