D   C   B   ReLU   PReLU   ELU   LReLU
0.117 ¡À 0.015   0.237 ¡À 0.031   0.300 ¡À 0.026   0.202 ¡À 0.031   0.378 ¡À 0.049   0.238 ¡À 0.029   0.203 ¡À 0.025
0.136   0.263   0.346   0.252   0.432   0.281   0.238
0.122,0.118,0.136,0.099,0.126,0.121,0.135,0.093,0.121,0.101   0.262,0.163,0.249,0.237,0.244,0.206,0.253,0.263,0.257,0.236   0.261,0.297,0.275,0.311,0.300,0.309,0.268,0.319,0.315,0.346   0.203,0.209,0.252,0.186,0.196,0.203,0.160,0.161,0.249,0.204   0.262,0.336,0.371,0.383,0.397,0.388,0.417,0.432,0.385,0.411   0.262,0.245,0.235,0.273,0.226,0.213,0.183,0.229,0.232,0.281   0.238,0.151,0.201,0.206,0.181,0.236,0.203,0.210,0.193,0.211
2.196,2.196,2.196,2.197,2.196,2.196,2.197,2.196,2.196,2.197   2.018,2.155,2.068,2.042,2.056,2.053,2.073,2.039,1.976,2.087   2.023,2.034,2.040,1.969,2.004,2.004,2.001,1.891,1.969,1.945   2.117,2.115,2.120,2.118,2.119,2.166,2.162,2.151,2.119,2.128   2.002,1.957,1.803,1.890,1.840,1.832,1.723,1.731,1.795,1.753   2.121,2.042,2.048,2.056,2.096,2.092,2.163,2.033,2.071,2.037   2.071,2.167,2.124,2.113,2.115,2.129,2.139,2.081,2.133,2.152
