D   C   B   ReLU   PReLU   ELU   LReLU
0.770 ¡À 0.026   0.764 ¡À 0.030   0.766 ¡À 0.029   0.769 ¡À 0.026   0.765 ¡À 0.024   0.775 ¡À 0.025   0.765 ¡À 0.019
0.813   0.802   0.813   0.807   0.807   0.804   0.803
0.788,0.768,0.785,0.772,0.723,0.813,0.761,0.779,0.771,0.735   0.775,0.764,0.738,0.793,0.758,0.787,0.802,0.705,0.778,0.740   0.763,0.813,0.763,0.734,0.764,0.713,0.798,0.773,0.759,0.780   0.780,0.787,0.778,0.736,0.807,0.794,0.729,0.744,0.763,0.769   0.735,0.770,0.807,0.762,0.739,0.782,0.786,0.773,0.733,0.765   0.772,0.800,0.804,0.771,0.724,0.772,0.774,0.752,0.803,0.782   0.732,0.754,0.758,0.767,0.764,0.787,0.763,0.763,0.803,0.754
0.609,0.597,0.666,0.608,0.660,0.558,0.647,0.573,0.538,0.633   0.644,0.567,0.629,0.589,0.663,0.621,0.601,0.703,0.575,0.594   0.643,0.564,0.617,0.660,0.593,0.811,0.631,0.651,0.590,0.616   0.546,0.576,0.564,0.701,0.513,0.617,0.695,0.667,0.670,0.689   0.665,0.582,0.536,0.597,0.693,0.661,0.631,0.628,0.701,0.589   0.517,0.636,0.575,0.544,0.635,0.575,0.595,0.698,0.509,0.548   0.723,0.629,0.691,0.615,0.562,0.565,0.571,0.623,0.626,0.662
